Name,Email,Created at,Total,Refunded Amount,Currency,Financial Status,Lineitem name,Lineitem quantity
#1069,customer35@example.com,2025-05-01 11:58:00 -0500,120.00,0.00,USD,paid,Blue Widget,1
#1070,customer40@example.com,2025-05-13 15:47:00 -0500,224.00,0.00,USD,paid,Refill Pack,1
#1070,,,,,,,Blue Widget,1
#1070,,,,,,,Red Gadget,1
#1071,customer41@example.com,2025-05-08 08:45:00 -0500,74.00,0.00,USD,paid,Blue Widget,1
#1071,,,,,,,Blue Widget,1
#1072,customer42@example.com,2025-05-22 16:33:00 -0500,54.00,0.00,USD,paid,Refill Pack,1
#1072,,,,,,,Starter Kit,1
#1073,customer43@example.com,2025-05-19 17:45:00 -0500,120.00,0.00,USD,paid,Deluxe Bundle,1
#1074,customer44@example.com,2025-05-18 15:25:00 -0500,39.00,0.00,USD,paid,Refill Pack,1
#1075,,2025-05-06 08:17:00 -0500,39.00,0.00,USD,paid,Green Doohickey,1
#1076,customer46@example.com,2025-05-16 16:01:00 -0500,24.50,0.00,USD,paid,Blue Widget,1
#1077,customer47@example.com,2025-05-06 10:58:00 -0500,83.50,0.00,USD,paid,Blue Widget,1
#1077,,,,,,,Red Gadget,1
#1078,customer48@example.com,2025-05-05 17:06:00 -0500,63.50,0.00,USD,paid,Red Gadget,1
#1078,,,,,,,Red Gadget,1
#1079,customer49@example.com,2025-05-18 10:19:00 -0500,237.00,0.00,USD,paid,Blue Widget,1
#1079,,,,,,,Blue Widget,1
#1079,,,,,,,Blue Widget,1
#1080,customer50@example.com,2025-05-21 08:47:00 -0500,169.00,84.50,USD,paid,Deluxe Bundle,1
#1080,,,,,,,Green Doohickey,1
#1080,,,,,,,Red Gadget,1
#1081,customer8@example.com,2025-06-22 12:11:00 -0500,172.50,0.00,USD,paid,Refill Pack,1
#1081,,,,,,,Refill Pack,1
#1081,,,,,,,Refill Pack,1
#1082,customer17@example.com,2025-06-27 15:02:00 -0500,89.00,0.00,USD,paid,Blue Widget,1
#1083,customer18@example.com,2025-06-08 13:47:00 -0500,178.00,0.00,USD,paid,Red Gadget,1
#1083,,,,,,,Red Gadget,1
#1084,customer21@example.com,2025-06-14 17:36:00 -0500,89.00,0.00,USD,paid,Deluxe Bundle,1
#1085,,2025-06-08 13:03:00 -0500,248.00,0.00,USD,paid,Green Doohickey,1
#1085,,,,,,,Refill Pack,1
#1085,,,,,,,Starter Kit,1
#1086,customer24@example.com,2025-06-03 14:05:00 -0500,49.00,0.00,USD,paid,Refill Pack,1
#1086,,,,,,,Starter Kit,1
#1087,customer30@example.com,2025-06-15 08:22:00 -0500,39.00,0.00,USD,paid,Deluxe Bundle,1
#1088,customer40@example.com,2025-06-10 12:04:00 -0500,172.50,0.00,USD,paid,Deluxe Bundle,1
#1088,,,,,,,Deluxe Bundle,1
#1088,,,,,,,Starter Kit,1
#1089,customer41@example.com,2025-06-07 11:24:00 -0500,172.50,0.00,USD,paid,Green Doohickey,1
#1089,,,,,,,Starter Kit,1
#1089,,,,,,,Refill Pack,1
#1090,customer42@example.com,2025-06-25 09:37:00 -0500,138.00,0.00,USD,paid,Green Doohickey,1
#1090,,,,,,,Starter Kit,1
#1090,,,,,,,Red Gadget,1
#1091,customer43@example.com,2025-06-22 15:30:00 -0500,157.00,0.00,USD,paid,Starter Kit,1
#1091,,,,,,,Blue Widget,1
#1091,,,,,,,Refill Pack,1
#1092,customer46@example.com,2025-06-11 14:08:00 -0500,120.00,0.00,USD,paid,Blue Widget,1
#1093,customer47@example.com,2025-06-19 09:14:00 -0500,104.00,0.00,USD,paid,Blue Widget,1
#1093,,,,,,,Green Doohickey,1
#1094,customer49@example.com,2025-06-09 13:48:00 -0500,54.00,0.00,USD,paid,Red Gadget,1
#1094,,,,,,,Starter Kit,1
#1095,customer50@example.com,2025-06-11 15:40:00 -0500,120.00,0.00,USD,paid,Starter Kit,1
#1096,customer51@example.com,2025-06-21 17:39:00 -0500,172.50,0.00,USD,paid,Red Gadget,1
#1096,,,,,,,Green Doohickey,1
#1096,,,,,,,Blue Widget,1
#1097,customer52@example.com,2025-06-02 14:18:00 -0500,15.00,0.00,USD,paid,Red Gadget,1
#1098,customer53@example.com,2025-06-13 11:56:00 -0500,78.50,0.00,USD,paid,Refill Pack,1
#1098,,,,,,,Starter Kit,1
#1098,,,,,,,Red Gadget,1
#1099,customer54@example.com,2025-06-04 12:11:00 -0500,128.00,0.00,USD,paid,Refill Pack,1
#1099,,,,,,,Refill Pack,1
#1100,,2025-06-03 16:20:00 -0500,120.00,60.00,USD,paid,Refill Pack,1
#1101,customer56@example.com,2025-06-14 13:23:00 -0500,203.50,0.00,USD,paid,Starter Kit,1
#1101,,,,,,,Blue Widget,1
#1101,,,,,,,Starter Kit,1
#1102,customer57@example.com,2025-06-09 08:07:00 -0500,59.00,0.00,USD,paid,Green Doohickey,1
#1103,customer58@example.com,2025-06-27 16:27:00 -0500,267.00,0.00,USD,paid,Red Gadget,1
#1103,,,,,,,Blue Widget,1
#1103,,,,,,,Starter Kit,1
#1104,customer59@example.com,2025-06-07 08:41:00 -0500,15.00,0.00,USD,paid,Red Gadget,1
#1105,customer60@example.com,2025-06-04 08:35:00 -0500,233.50,0.00,USD,paid,Starter Kit,1
#1105,,,,,,,Red Gadget,1
#1105,,,,,,,Blue Widget,1
#1106,customer5@example.com,2025-07-16 08:36:00 -0500,54.00,0.00,USD,paid,Refill Pack,1
#1106,,,,,,,Refill Pack,1
#1107,customer7@example.com,2025-07-15 10:38:00 -0500,118.00,0.00,USD,paid,Refill Pack,1
#1107,,,,,,,Starter Kit,1
#1108,customer8@example.com,2025-07-20 11:20:00 -0500,24.50,0.00,USD,paid,Red Gadget,1
#1109,customer12@example.com,2025-07-12 12:39:00 -0500,59.00,0.00,USD,paid,Deluxe Bundle,1
#1110,customer21@example.com,2025-07-05 09:03:00 -0500,264.50,0.00,USD,paid,Green Doohickey,1
#1110,,,,,,,Refill Pack,1
#1110,,,,,,,Red Gadget,1
#1111,customer23@example.com,2025-07-17 12:19:00 -0500,183.50,0.00,USD,paid,Blue Widget,1
#1111,,,,,,,Green Doohickey,1
#1111,,,,,,,Green Doohickey,1
#1112,customer31@example.com,2025-07-21 15:38:00 -0500,224.00,112.00,USD,paid,Starter Kit,1
#1112,,,,,,,Deluxe Bundle,1
#1112,,,,,,,Red Gadget,1
#1113,customer32@example.com,2025-07-15 17:22:00 -0500,59.00,29.50,USD,paid,Blue Widget,1
#1114,customer35@example.com,2025-07-15 15:54:00 -0500,144.50,0.00,USD,paid,Deluxe Bundle,1
#1114,,,,,,,Green Doohickey,1
#1115,customer37@example.com,2025-07-07 11:20:00 -0500,39.50,0.00,USD,paid,Deluxe Bundle,1
#1115,,,,,,,Deluxe Bundle,1
#1116,customer41@example.com,2025-07-20 10:29:00 -0500,135.00,0.00,USD,paid,Green Doohickey,1
#1116,,,,,,,Red Gadget,1
#1117,customer43@example.com,2025-07-15 14:03:00 -0500,78.50,0.00,USD,paid,Blue Widget,1
#1117,,,,,,,Refill Pack,1
#1117,,,,,,,Deluxe Bundle,1
#1118,customer44@example.com,2025-07-27 08:01:00 -0500,218.00,0.00,USD,paid,Red Gadget,1
#1118,,,,,,,Blue Widget,1
#1118,,,,,,,Starter Kit,1
#1119,customer47@example.com,2025-07-09 15:46:00 -0500,159.00,0.00,USD,paid,Deluxe Bundle,1
#1119,,,,,,,Starter Kit,1
#1120,customer49@example.com,2025-07-11 13:49:00 -0500,39.00,0.00,USD,paid,Green Doohickey,1
#1121,customer52@example.com,2025-07-12 10:51:00 -0500,120.00,0.00,USD,paid,Deluxe Bundle,1
#1122,customer53@example.com,2025-07-23 14:09:00 -0500,218.00,0.00,USD,paid,Red Gadget,1
#1122,,,,,,,Blue Widget,1
#1122,,,,,,,Green Doohickey,1
#1123,customer54@example.com,2025-07-08 14:42:00 -0500,120.00,0.00,USD,paid,Red Gadget,1
#1124,customer55@example.com,2025-07-26 11:34:00 -0500,74.00,0.00,USD,paid,Blue Widget,1
#1124,,,,,,,Refill Pack,1
#1125,customer57@example.com,2025-07-27 11:44:00 -0500,233.50,0.00,USD,paid,Refill Pack,1
#1125,,,,,,,Blue Widget,1
#1125,,,,,,,Green Doohickey,1
#1126,customer58@example.com,2025-07-01 14:17:00 -0500,74.00,0.00,USD,paid,Deluxe Bundle,1
#1126,,,,,,,Green Doohickey,1
#1127,customer60@example.com,2025-07-17 11:42:00 -0500,122.50,0.00,USD,paid,Starter Kit,1
#1127,,,,,,,Refill Pack,1
#1127,,,,,,,Green Doohickey,1
